"start","end","speaker","transcription"
0.2,0.72,"SPEAKER_02","Hey Sally!"
1.21,1.47,"SPEAKER_00","Gracias."
3.44,4.2,"SPEAKER_00","Vamos a ir a su asunto."
4.37,5.75,"SPEAKER_02","Buenos días, siéntese."
8.82,10.65,"SPEAKER_02","¿Qué tal, Sally? ¿Cómo te sientes hoy?"
11.0,14.54,"SPEAKER_00","Estoy un poco con dolor en la garganta, doctor."
14.95,17.87,"SPEAKER_00","La tengo un poco seca, me cuesta tragar..."
18.58,21.72,"SPEAKER_02","¿Duermes bien por las noches o te cuesta?"
20.65,23.01,"SPEAKER_00","Me cuesta un poquito respirar."
23.45,26.17,"SPEAKER_02","Por lo que veo, creo que es un simple síntoma..."
26.63,28.68,"SPEAKER_02","ahora con el frío que suele venir,"
28.95,31.99,"SPEAKER_02","lo que pasa que para no quedarnos..."
32.26,34.79,"SPEAKER_02","Con la duda te voy a recomendar a mi especialista."
35.28,36.78,"SPEAKER_02","Se llama el Doctor Sánchez."
37.16,38.64,"SPEAKER_02","Y le preguntamos a ver qué tal."
39.1,40.77,"SPEAKER_02","Doctor Sánchez, ¿qué le parece?"
41.68,47.97,"SPEAKER_01","Con esos síntomas parece que podría tratarse de una bronquitis. En esta época del año, que es una época fría,"
48.46,49.96,"SPEAKER_01","especialmente en estas zonas,"
50.2,54.32,"SPEAKER_01","podría tener algún síntoma de fiebre o dificultad para respirar."
54.99,58.0,"SPEAKER_01","¿Qué síntomas está teniendo usted, señorita Sally?"
58.99,66.54,"SPEAKER_00","Un poco de tos, sequedad en la garganta, yo creo que son síntomas comunes que puede haber para este tipo de enfermedad."
67.14,72.8,"SPEAKER_02","¿Cuántos días más o menos llevas con estos síntomas? ¿Dos o tres días? ¿Una semana?"
72.81,74.55,"SPEAKER_00","Ya habrá hecho una semana o más."
74.82,77.47,"SPEAKER_02","¿Se lo ha recomendado alguien venir, un farmacéutico...?"
77.4,81.03,"SPEAKER_00","No, ya después de tantos días de dolor he preferido venir al médico."
81.57,85.05,"SPEAKER_02","Pues has hecho bien, porque siempre que dura mal..."
85.11,87.26,"SPEAKER_02","con dos o tres días, bueno, se puede curar"
87.7,89.16,"SPEAKER_02","con simple medicación"
89.54,95.68,"SPEAKER_02","en la farmacia, pero cuando ya llevas expuesto más tiempo es mejor que acudas al médico y ya comprobamos si es algo más grave."
95.95,97.28,"SPEAKER_02","Aunque en principio no lo parece."
97.82,104.98,"SPEAKER_02","¿Ha estado expuesto a ambientes fríos o, por ejemplo, trabajar en sitios donde hay mucho polvo, que también puede ser debido a ello?"
104.98,109.77,"SPEAKER_00","Sí, trabajo en el campo, entonces he estado expuesto al frío y a polvo, a la tierra."
110.88,113.04,"SPEAKER_02","Ah, pues se lo voy a decir..."
113.35,118.05,"SPEAKER_02","al especialista, al Doctor Sánchez, que él entiende más en ese ámbito."
118.68,120.79,"SPEAKER_02","A ver qué le parece. ¿Qué te parece...?"
120.05,120.87,"SPEAKER_01","Parece..."
121.18,126.81,"SPEAKER_02","Señor Sánchez, ¿a qué puede ser debido? ¿Debido a que trabaja en el campo y está siempre con mucho...?"
126.98,130.14,"SPEAKER_01","como nos ha comentado la señora Sally, al trabajar en el campo,"
130.8,138.44,"SPEAKER_01","eso ha podido agravar sus síntomas. La bronquitis a menudo se desencadena por infecciones virales y la exposición a condiciones como el frío o el polvo."
140.38,142.96,"SPEAKER_02","Pues dado lo que nos cuenta,"
143.97,147.67,"SPEAKER_02","parece que tenemos aquí una infección respiratoria leve."
147.89,152.48,"SPEAKER_02","Pero para estar seguros es mejor seguir con un tratamiento para aliviar los síntomas que tiene."
152.75,155.94,"SPEAKER_02","¿Está usted tomando algún medicamento actualmente que pueda...?"
157.29,160.73,"SPEAKER_02","interaccionar o le podamos pausar dependiendo de la infección."
160.88,162.32,"SPEAKER_00","No, no tomo ningún medicamento."
163.16,174.05,"SPEAKER_02","Vale, pues es comprensible. En su caso, lo mejor sería un tratamiento para calmar la tos, como me has comentado, y el dolor de pecho, para que pueda dormir y descansar, y le recomendaría..."
174.27,184.76,"SPEAKER_02","antitusígenos y analgésicos suaves para aliviar la molestia que tiene en el pecho y también un descongestivo para quitar la tos o si puede llegar a generar"
185.2,186.42,"SPEAKER_02","mucosidad en la"
