"start","end","speaker","transcription"
3.68,4.0,"SPEAKER_01","Thank you."
8.97,10.7,"SPEAKER_01","Bueno, esto es cuestión de hacerme con ello."
11.22,12.05,"SPEAKER_01","Gracias."
11.4,11.88,"SPEAKER_00","Yeah."
12.96,13.24,"SPEAKER_01","All right."
13.5,15.94,"SPEAKER_01","Posa sincronizada."
14.1,14.16,"SPEAKER_00","Thank you."
16.42,18.26,"SPEAKER_01","Carga 200 julios, ¿vale?"
18.56,19.99,"SPEAKER_01","¿Preparados para la descarga?"
20.28,21.11,"SPEAKER_01","¡Cargando!"
21.92,22.71,"SPEAKER_01","Preparados."
23.03,23.66,"SPEAKER_01","Let's go, guys."
24.53,24.97,"SPEAKER_01","Augie."
25.55,27.15,"SPEAKER_01","Vamos a ver si sale al abrimos sin usar."
27.93,28.89,"SPEAKER_01","Esperamos."
28.2,28.87,"SPEAKER_00","Esperamos."
29.39,31.1,"SPEAKER_00","Vale, salen ritmos."
29.55,32.11,"SPEAKER_01","Vale, sí, en pantalla sí probé, ¿no?"
32.43,33.36,"SPEAKER_00","Es efectivo."
32.5,33.38,"SPEAKER_01","Es efectivo."
33.38,36.09,"SPEAKER_00","Vuelve a controlar el pulso y las constantes, por favor."
35.54,36.5,"SPEAKER_01","Por favor."
36.82,36.94,"SPEAKER_01","Thank you."
36.94,36.97,"SPEAKER_00","Thank you."
36.97,37.04,"SPEAKER_01","Thank you."
38.57,39.99,"SPEAKER_01","Está tomando la tensión, te digo."
40.24,41.1,"SPEAKER_01","Acción."
41.39,42.24,"SPEAKER_01","90."
43.1,43.55,"SPEAKER_01","Vale."
43.72,44.36,"SPEAKER_01","Perfecto."
44.9,48.7,"SPEAKER_00","Necesito que le hagamos ahora a posteriori un electro y comprobemos."
45.61,45.98,"SPEAKER_01","Gracias."
49.0,49.41,"SPEAKER_01","Thank you."
49.61,51.2,"SPEAKER_00","que comprobemos la..."
51.58,54.49,"SPEAKER_00","el ritmo cardíaco de base que ha tenido y por qué le ha pasado."
55.14,56.26,"SPEAKER_01","Un electro, Javier."
58.64,59.33,"SPEAKER_01","En el centro..."
61.49,61.96,"SPEAKER_01","Bye."
62.89,66.92,"SPEAKER_01","La tensión, como mira, la tensión tiene 120-80, ¿vale? Vale, ¿vale?"
67.33,68.68,"SPEAKER_01","Mira, este es el electro, ¿lo ves?"
69.49,70.38,"SPEAKER_01","Esto aquí, que más luz."
70.91,72.02,"SPEAKER_00","Perfecto, Carlos."
72.29,73.03,"SPEAKER_00","Te cuento."
74.03,77.57,"SPEAKER_00","Es un síndrome coronario, ¿de acuerdo? Tenemos..."
75.5,75.55,"SPEAKER_01","Yes."
77.72,81.49,"SPEAKER_00","Aquí una elevación en toda la cara inferior, 2, 3 y aVF."
81.13,81.44,"SPEAKER_01","I know."
81.77,83.09,"SPEAKER_00","Te señalo aparte..."
83.46,83.87,"SPEAKER_00","¿Vale?"
84.56,86.03,"SPEAKER_00","que esta parte de aquí"
87.24,90.36,"SPEAKER_00","Toda la cara anterior tiene un descenso del ST."
90.67,92.24,"SPEAKER_00","Por lo tanto, es un ínfero posterior."
92.88,99.21,"SPEAKER_00","Tenemos que tener cuidado porque eso puede afectar al nodo sinusal y nos puede dar arritmias malignas en este tipo de infarto. ¿De acuerdo?"
