"start","end","speaker","transcription"
3.68,4.0,"especialista","Thank you."
8.97,10.7,"especialista","Bueno, esto es cuestión de hacerme con ello."
11.22,12.05,"especialista","Gracias."
11.4,11.88,"medico","Yeah."
12.96,13.24,"especialista","All right."
13.5,15.94,"especialista","Posa sincronizada."
14.1,14.16,"medico","Thank you."
16.42,18.26,"especialista","Carga 200 julios, ¿vale?"
18.56,19.99,"especialista","¿Preparados para la descarga?"
20.28,21.11,"especialista","¡Cargando!"
21.92,22.71,"especialista","Preparados."
23.03,23.66,"especialista","Let's go, guys."
24.53,24.97,"especialista","Augie."
25.55,27.15,"especialista","Vamos a ver si sale al abrimos sin usar."
27.93,28.89,"especialista","Esperamos."
28.2,28.87,"medico","Esperamos."
29.39,31.1,"medico","Vale, salen ritmos."
29.55,32.11,"especialista","Vale, sí, en pantalla sí probé, ¿no?"
32.43,33.36,"medico","Es efectivo."
32.5,33.38,"especialista","Es efectivo."
33.38,36.09,"medico","Vuelve a controlar el pulso y las constantes, por favor."
35.54,36.5,"especialista","Por favor."
36.82,36.94,"especialista","Thank you."
36.94,36.97,"medico","Thank you."
36.97,37.04,"especialista","Thank you."
38.57,39.99,"especialista","Está tomando la tensión, te digo."
40.24,41.1,"especialista","Acción."
41.39,42.24,"especialista","90."
43.1,43.55,"especialista","Vale."
43.72,44.36,"especialista","Perfecto."
44.9,48.7,"medico","Necesito que le hagamos ahora a posteriori un electro y comprobemos."
45.61,45.98,"especialista","Gracias."
49.0,49.41,"especialista","Thank you."
49.61,51.2,"medico","que comprobemos la..."
51.58,54.49,"medico","el ritmo cardíaco de base que ha tenido y por qué le ha pasado."
55.14,56.26,"especialista","Un electro, Javier."
58.64,59.33,"especialista","En el centro..."
61.49,61.96,"especialista","Bye."
62.89,66.92,"especialista","La tensión, como mira, la tensión tiene 120-80, ¿vale? Vale, ¿vale?"
67.33,68.68,"especialista","Mira, este es el electro, ¿lo ves?"
69.49,70.38,"especialista","Esto aquí, que más luz."
70.91,72.02,"medico","Perfecto, Carlos."
72.29,73.03,"medico","Te cuento."
74.03,77.57,"medico","Es un síndrome coronario, ¿de acuerdo? Tenemos..."
75.5,75.55,"especialista","Yes."
77.72,81.49,"medico","Aquí una elevación en toda la cara inferior, 2, 3 y aVF."
81.13,81.44,"especialista","I know."
81.77,83.09,"medico","Te señalo aparte..."
83.46,83.87,"medico","¿Vale?"
84.56,86.03,"medico","que esta parte de aquí"
